,gamevariant,num_characters,length_dialogue_sum
0,Morrowind,34,14847
1,Daggerfall,139,18556
2,FFX_B,368,60391
3,FFXV,47,63265
4,SuperMarioRPG,48,10499
5,HorizonZeroDawn,32,5663
6,MonkeyIsland2,34,7907
7,TheSecretOfMonkeyIsland,37,13750
8,TheCurseOfMonkeyIsland,39,29870
9,KingsQuest1,9,1290
10,KingsQuest6,47,68410
11,KingsQuestChapters,18,76434
12,KingsQuest5,21,2652
13,KingsQuest4,8,371
14,KingdomHearts-B,53,16413
15,KingdomHearts3,82,36002
16,KingdomHearts3D,40,18236
17,Persona3,49,26772
18,Persona4,130,86756
19,Persona5B,343,186174
