file,gamevariant,gender,mean_Neutral,mean_Resistant,mean_Receptive,mean_Powerful,mean_Gentle,mean_Caring,mean_Stoic,mean_Dominant,mean_Submissive,highest_count_Neutral,highest_count_Resistant,highest_count_Receptive,highest_count_Powerful,highest_count_Gentle,highest_count_Caring,highest_count_Stoic,highest_count_Dominant,highest_count_Submissive
all_female_dialogue_persona4.txt,persona4,female,0.10426370274167067,0.14020857443626655,0.12968251688676707,0.15078435115329666,0.08667052897685296,0.07049565489702034,0.06884559548037432,0.13235706409430967,0.11669201134258775,777,1504,1445,1971,461,305,23,845,688
all_female_dialogue_daggerfall.txt,daggerfall,female,0.08267850706050563,0.14837512878571138,0.12309870271142138,0.1937336954396478,0.08326456973025965,0.08205323293805122,0.05510640016562024,0.12129697437549747,0.11039278604263483,2,7,5,15,1,4,0,3,6
all_female_dialogue_kingdomhearts3d.txt,kingdomhearts3d,female,0.08591754514178852,0.1424945524810412,0.13504459792218074,0.1652131333826034,0.10451218272309477,0.07702824016805829,0.059775993068952385,0.1316958718547007,0.09831788307964438,11,24,20,29,14,7,0,11,7
all_female_dialogue_thecurseofmonkeyisland.txt,thecurseofmonkeyisland,female,0.10674934205266513,0.14450765410105565,0.10008826573778476,0.18832018709342394,0.0676242662610353,0.051864593471067824,0.0791622218709173,0.16141163872421851,0.10027183799206146,15,21,13,39,9,4,6,24,9
all_female_dialogue_kingsquest6.txt,kingsquest6,female,0.09859816428393565,0.1485240833402107,0.12699202657677233,0.1440388998420935,0.08990743468813081,0.09159682944300584,0.06051205275030548,0.1358168135326802,0.10401369524414703,26,67,41,48,22,30,1,34,19
all_female_dialogue_hades.txt,hades,female,0.0888863354921341,0.10035157948732376,0.13474947214126587,0.11425172537565231,0.12817244231700897,0.1273876428604126,0.0769152045249939,0.11787273734807968,0.11141283810138702,0,0,1,0,0,0,0,0,0
all_female_dialogue_kingdomhearts_b.txt,kingdomhearts_b,female,0.08954890617015795,0.14611471275004753,0.11633680932706005,0.1771345417450187,0.07839783133943636,0.08241760751308146,0.06355915412065682,0.1444896693710181,0.10200076712517607,30,86,45,114,22,24,2,51,20
all_female_dialogue_kingsquest1.txt,kingsquest1,female,0.0517847053706646,0.09139862501372893,0.11370210178817312,0.1839795345440507,0.16966057724008957,0.1419839911783735,0.05221331057449182,0.10885621219252546,0.08642095824082692,0,1,0,5,4,1,0,1,0
all_female_dialogue_persona5b.txt,persona5b,female,0.1003401451846722,0.14374039879312214,0.12191680172682186,0.1664703972411042,0.08236515087960244,0.06595506323421403,0.06576522375791688,0.1402595561547239,0.11318726342835966,522,1322,910,1824,359,195,13,837,532
all_female_dialogue_kingsquestchapters.txt,kingsquestchapters,female,0.10073770681974967,0.13590566275803947,0.12026428271248876,0.16838680941357936,0.09312682372427698,0.07756583876167812,0.06442507365390333,0.13098878804535122,0.10859901410365015,423,691,559,1264,298,206,15,407,309
all_female_dialogue_monkeyisland2.txt,monkeyisland2,female,0.08491054944399941,0.13446219270362667,0.11254199389204905,0.18898105520036138,0.08792739494891609,0.07761751661452938,0.06364825595856498,0.1389890476211644,0.11092199474622152,8,12,13,50,8,6,0,7,10
all_female_dialogue_supermariorpg.txt,supermariorpg,female,0.0789849611500708,0.1485844184859441,0.12937493209655468,0.16362993871936432,0.08272468596696854,0.08732719261987278,0.06253280644663252,0.14942685023236732,0.0974142126667385,6,28,19,29,5,13,2,21,7
all_female_dialogue_kingsquest4.txt,kingsquest4,female,0.07591951457046282,0.120890242261036,0.12840746178214127,0.17207536491979328,0.1018099576079597,0.0959677063995817,0.06710757840644671,0.13424951615969702,0.10357266338542104,5,17,27,36,13,14,2,21,9
all_female_dialogue_ffxv.txt,ffxv,female,0.07828273232967793,0.13007903420345085,0.1251360987239734,0.18972407708254954,0.08836252933031068,0.08204341876255689,0.056270463590150845,0.14406418552532893,0.10603745758308089,37,139,137,281,46,51,2,117,66
all_female_dialogue_thesecretofmonkeyisland.txt,thesecretofmonkeyisland,female,0.11370005387860009,0.14664120795323124,0.11192405577513236,0.16237888494624367,0.07622444462266904,0.06119008784335625,0.07582374084505099,0.14404214541368845,0.10807537160153631,11,15,11,14,3,3,2,11,9
all_female_dialogue_kingdomhearts3.txt,kingdomhearts3,female,0.10021651168811649,0.13791397506851824,0.13008212281488304,0.15178148089314364,0.09088885098568432,0.08284096458723651,0.061489948554725574,0.1285218327998623,0.11626431089289452,66,128,115,149,39,33,1,60,60
all_female_dialogue_persona3.txt,persona3,female,0.10467991112681543,0.14689387244665872,0.12402262604492663,0.15677873997770603,0.08433909462858787,0.06599679742553224,0.06724360853554992,0.1302841567059385,0.11976119304325827,114,279,195,332,76,32,2,121,138
all_female_dialogue_morrowind.txt,morrowind,female,0.08467768479447826,0.12737765285028183,0.11496999072787083,0.20774134006277611,0.0802752506190344,0.08777729987917769,0.06422085568065876,0.13685929219389387,0.09610064227222335,17,37,26,114,8,15,1,27,8
all_female_dialogue_horizonforbiddenwest.txt,horizonforbiddenwest,female,0.11279863119125366,0.113493412733078,0.1078588217496872,0.15834565460681915,0.08936366438865662,0.09187305718660355,0.039775509387254715,0.14197325706481934,0.1445179581642151,0,0,0,1,0,0,0,0,0
all_female_dialogue_horizonzerodawn.txt,horizonzerodawn,female,0.10740374057473595,0.14331742455201443,0.10954075375752102,0.17351122544978254,0.08327786320499996,0.06688145649248875,0.06122950128509953,0.1428840927309006,0.11195394500929823,17,45,21,53,9,5,0,23,13
all_female_dialogue_kingdomhearts-b.txt,kingdomhearts-b,female,0.08954890617015795,0.14611471275004753,0.11633680932706005,0.1771345417450187,0.07839783133943636,0.08241760751308146,0.06355915412065682,0.1444896693710181,0.10200076712517607,30,86,45,114,22,24,2,51,20
all_female_dialogue_kingsquest5.txt,kingsquest5,female,0.08258568774908781,0.1372561469866798,0.12185705568769882,0.15460784675489211,0.09619091640644033,0.09560990717326259,0.06629069221751957,0.1401222806166986,0.10547947106433325,3,11,9,13,5,4,1,9,3
all_female_dialogue_ffx_b.txt,kingdomhearts_b,female,0.08765342405244504,0.1516465065783936,0.12252162893102866,0.16165844059727882,0.09071096862957613,0.07747186149808591,0.06495822469520991,0.13412043354325168,0.10925851199269873,157,514,326,537,159,120,2,212,163
